project,clock_name,modality,cell_type,feature,coefficient,importance,rank,model_type
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_105809,-0.020112350983085,,18,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_105844,0.0123517910181824,,193,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_108014,0.0161109552273794,,59,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_108122,-0.0145510603311169,,88,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_108123,-0.0145510603311169,,89,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_108262,-0.0155646763922251,,67,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_108263,-0.0212327016254037,,12,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_113141,0.0177311732947467,,33,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_113174,0.0201024352636826,,19,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_114018,0.0129442242978959,,155,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_115898,0.0177831572651708,,31,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_115899,0.0169065014547899,,46,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_125162,0.01670624399141,,49,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_129858,-0.0134323994597786,,131,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_129937,0.0123250729021947,,195,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_131709,0.0153458944929394,,70,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_131711,0.0198883364705302,,22,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_135873,-0.0125333524400012,,181,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_147646,0.0136676367425565,,120,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_149707,-0.0128268180991753,,161,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_149711,-0.0211058562163412,,14,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_149712,-0.0211058562163412,,13,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_149714,-0.0170585893104262,,43,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_14990,-0.0133377060175159,,138,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_156375,-0.0213908090927434,,11,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_157952,0.0128731828766175,,159,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_157953,0.0128731828766175,,160,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_157960,0.0165385855933976,,51,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_165734,0.0156156316212117,,66,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_169994,0.0136124416237533,,123,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_169995,0.0122442494335264,,198,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_175181,0.0144583702384016,,94,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_175182,0.0144583702384016,,93,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_176931,0.0163394818259867,,52,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_176932,0.0163394818259867,,53,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_179140,-0.0126318308031073,,172,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_181457,0.0127574692192273,,167,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_181470,0.0141477540004359,,102,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_181472,0.0312190371483218,,1,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_181473,0.0176973291914267,,35,RidgeCV
atac_processing_techniques,igvf_pfc_train_MTG,ATAC,All-cells,feat_186491,0.0168143617138431,,48,RidgeCV
