project,clock_name,modality,cell_type,feature,coefficient,importance,rank,model_type
pfc_to_hippocampus,pfc_to_hip_tile_zscore_NR2F2inh_clock,ATAC,All cells,tile_1015,0.5130980004462558,,154,RidgeCV
pfc_to_hippocampus,pfc_to_hip_tile_zscore_NR2F2inh_clock,ATAC,All cells,tile_1171,-0.739678894439476,,29,RidgeCV
pfc_to_hippocampus,pfc_to_hip_tile_zscore_NR2F2inh_clock,ATAC,All cells,tile_1192,0.4728275054262869,,195,RidgeCV
pfc_to_hippocampus,pfc_to_hip_tile_zscore_NR2F2inh_clock,ATAC,All cells,tile_1249,-0.5563758207861138,,110,RidgeCV
pfc_to_hippocampus,pfc_to_hip_tile_zscore_NR2F2inh_clock,ATAC,All cells,tile_1289,-0.7332888352299844,,30,RidgeCV
pfc_to_hippocampus,pfc_to_hip_tile_zscore_NR2F2inh_clock,ATAC,All cells,tile_1294,0.6450117539792879,,58,RidgeCV
pfc_to_hippocampus,pfc_to_hip_tile_zscore_NR2F2inh_clock,ATAC,All cells,tile_1355,0.5061931265038561,,161,RidgeCV
pfc_to_hippocampus,pfc_to_hip_tile_zscore_NR2F2inh_clock,ATAC,All cells,tile_136,-0.746454202233377,,28,RidgeCV
pfc_to_hippocampus,pfc_to_hip_tile_zscore_NR2F2inh_clock,ATAC,All cells,tile_1399,1.5024662701462967,,3,RidgeCV
pfc_to_hippocampus,pfc_to_hip_tile_zscore_NR2F2inh_clock,ATAC,All cells,tile_14,-0.6090117829134221,,75,RidgeCV
pfc_to_hippocampus,pfc_to_hip_tile_zscore_NR2F2inh_clock,ATAC,All cells,tile_1453,0.5432948242821296,,121,RidgeCV
pfc_to_hippocampus,pfc_to_hip_tile_zscore_NR2F2inh_clock,ATAC,All cells,tile_1457,-0.4721971080622495,,198,RidgeCV
pfc_to_hippocampus,pfc_to_hip_tile_zscore_NR2F2inh_clock,ATAC,All cells,tile_150,-0.5834041884935371,,95,RidgeCV
pfc_to_hippocampus,pfc_to_hip_tile_zscore_NR2F2inh_clock,ATAC,All cells,tile_1505,0.8008811544853275,,22,RidgeCV
pfc_to_hippocampus,pfc_to_hip_tile_zscore_NR2F2inh_clock,ATAC,All cells,tile_1513,0.6370153523927915,,63,RidgeCV
pfc_to_hippocampus,pfc_to_hip_tile_zscore_NR2F2inh_clock,ATAC,All cells,tile_1517,-0.5207611158486409,,138,RidgeCV
pfc_to_hippocampus,pfc_to_hip_tile_zscore_NR2F2inh_clock,ATAC,All cells,tile_1547,0.5147000547872184,,148,RidgeCV
