project,clock_name,modality,cell_type,feature,coefficient,importance,rank,model_type
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_100805,-0.0970500551893625,,151,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_10185,-0.1043142410298191,,112,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_105836,-0.1411829574480723,,23,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_106332,0.0936911319734924,,177,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_107153,-0.0958949346365778,,156,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_108415,-0.1479718127796923,,20,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_113538,0.0927893260047954,,190,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_113817,0.1112012106482048,,78,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_114209,-0.1202622263575584,,52,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_11629,0.0998054215765433,,135,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_118422,0.0941670011531354,,171,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_118499,-0.0938258449188732,,174,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_118558,-0.1062476289569488,,99,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_118758,0.0994837622705553,,138,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_119017,-0.0928273972508105,,187,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_119361,-0.1050097054200861,,106,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_121723,-0.1198779427666929,,54,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_122207,-0.0948485079986699,,164,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_125228,0.1012027589971632,,128,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_126470,-0.1078628436829107,,90,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_127003,0.1038451671731912,,113,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_129129,-0.11633940221038,,64,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_129589,0.1488293653609073,,16,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_131455,0.1178391437871164,,58,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_131456,0.1852660713780601,,6,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_132270,0.1397406061064315,,26,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_133933,-0.0932366546207817,,184,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_139990,0.1002700184186497,,132,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_140971,0.0986746573419125,,141,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_142698,-0.1252104976466082,,47,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_148014,0.1101098759214909,,82,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_149010,-0.1327675233055688,,37,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_150496,-0.0941013777476641,,172,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_153657,-0.1047955540535946,,108,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_162312,0.1035957095979524,,115,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_163539,0.1046590019981247,,110,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_17043,-0.1189053598313573,,56,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_170933,-0.1863068020907431,,5,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_170936,-0.1595447567792216,,13,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_170937,-0.1380134177256551,,29,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_173209,-0.1106500768691894,,79,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_175134,-0.1037686887636535,,114,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_178375,-0.139121345596082,,27,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_17848,0.1181992664961096,,57,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_180729,0.1020632030316124,,123,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_182271,-0.1093719012617319,,85,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_183015,0.0937608880010937,,175,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_184063,-0.1482928456576026,,19,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_184459,-0.1199173755042998,,53,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_186146,-0.2120961763041602,,1,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_186488,0.0979784215311159,,145,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_186831,-0.0995338566731302,,137,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_188048,0.1066217189854992,,98,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_188248,0.1369602757389794,,31,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_188262,0.1260582637715443,,44,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_188722,0.1420683046562947,,22,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_188728,-0.1315972780100029,,39,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_189402,-0.0959191841564336,,155,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_190146,-0.093243209809254,,183,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_194138,-0.1076695093745192,,92,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_197187,0.092129012994059,,199,RidgeCV
pfc_to_perturbation,gse294103_sirt6_peaks_ridge_clock,ATAC,All cells,pfc_peak_199269,-0.0927216409292971,,191,RidgeCV
