project,clock_name,modality,cell_type,feature,coefficient,importance,rank,model_type
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_10430,-0.3113677380596388,,172,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_10454,-0.3359776485737575,,106,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_10545,-0.3501011579019747,,89,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_10552,-0.3297937420331114,,125,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_1057,-0.4172549156944812,,37,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_10877,-0.3207847745301635,,148,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_11339,0.3217322805469151,,145,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_11847,-0.3433988374499899,,94,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_11848,-0.3246220908712116,,137,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_12147,-0.5022395233351765,,10,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_12256,-0.3994334356123358,,48,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_12330,-0.370273935555757,,68,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_12838,-0.4063725570999382,,42,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_12892,0.3257274045795274,,132,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_12992,0.3245561056775497,,138,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_12993,0.3206795352871103,,150,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_13042,0.3455749822243821,,93,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_13079,0.353591548996387,,83,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_13184,-0.4101674393511655,,41,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_1459,-0.3413955389845275,,101,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_14593,-0.3189288419799403,,155,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_14869,0.3552207367310719,,79,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_15218,-0.3096070808933023,,179,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_15246,-0.3259682458306075,,131,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_15603,-0.3108268682516432,,175,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_15770,0.3092022756818309,,180,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_1579,-0.3582240911856302,,76,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_15940,-0.3399008663994362,,104,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_16205,-0.3423314032627991,,99,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_16236,0.359745365086585,,75,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_1630,0.3148987063620645,,164,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_16396,-0.4392334222533858,,28,RidgeCV
