,specimenID,libraryID,assay,platform,RIN,rnaBatch,libraryBatch,sequencingBatch,libraryPrep,libraryPreparationMethod,libraryType,sampleBarcode,isStranded,readStrandOrigin,readLength,runType,totalReads,validBarcodeReads,numberCells,medianGenes,medianUMIs,referenceSet,transposaseBatch,chromiumSampleIndex,pcrCycles,meanCoverage,meanGCContent,Q30BasesinRead1,Q30BasesinRead2,specimen_suffix
0,M2XM_210708_201-R_A01,L8XR_210715_01_D12,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.75,A8XR_210713_01,L8XR_210715_01,MTX-2016,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1467291887,1405665628,12256,2376.0,5072.0,GRCh38,R8XR-21080401,SI-TT-D12_i7,,,,0.9351,0.958,-L8XR_210715_01_D12-1121747486
1,M2XM_210708_201-R_B01,L8XR_210715_01_E12,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.07,A8XR_210713_01,L8XR_210715_01,MTX-2016,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1224101848,1174036082,4640,1216.0,1866.0,GRCh38,R8XR-21080401,SI-TT-E12_i7,,,,0.9377,0.9591,-L8XR_210715_01_E12-1121747487
2,M2XM_210708_201-R_C01,L8XR_210715_01_A12,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.67,A8XR_210713_01,L8XR_210715_01,MTX-2017,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,867972117,822143189,13008,4104.0,10587.0,GRCh38,R8XR-21080402,SI-TT-A12_i7,,,,0.9585,0.9472,-L8XR_210715_01_A12-1121939868
3,M2XM_210716_201-R_A01,L8XR_210722_01_D08,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.55,A8XR_210720_01,L8XR_210722_01,MTX-2017,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1270343249,1202125817,4048,4374.0,14709.0,GRCh38,R8XR-21080402,SI-TT-D8_i7,,,,0.9277,0.9463,-L8XR_210722_01_D08-1122543703
4,M2XM_210716_201-R_B01,L8XR_210722_01_B08,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.57,A8XR_210720_01,L8XR_210722_01,MTX-2017,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1440758767,1362957794,7906,6784.0,33082.0,GRCh38,R8XR-21080402,SI-TT-B8_i7,,,,0.9493,0.946,-L8XR_210722_01_B08-1122543704
5,M2XM_210716_201-R_C01,L8XR_210722_01_H07,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.08,A8XR_210720_01,L8XR_210722_01,MTX-2017,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1611547153,1525812844,7217,6847.0,29158.0,GRCh38,R8XR-21080402,SI-TT-H7_i7,,,,0.9531,0.9468,-L8XR_210722_01_H07-1122543705
6,M2XM_210723_201-R_A01,L8XR_210729_01_B09,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.82,A8XR_210727_01,L8XR_210729_01,MTX-2017,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1398497495,1319482387,16153,3163.0,7674.0,GRCh38,R8XR-21080402,SI-TT-B9_i7,,,,0.9571,0.9435,-L8XR_210729_01_B09-1122543706
7,M2XM_210723_201-R_B01,L8XR_210729_01_E09,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.98,A8XR_210727_01,L8XR_210729_01,MTX-2017,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1150336381,1086607745,10832,3076.0,7854.0,GRCh38,R8XR-21080402,SI-TT-E9_i7,,,,0.9513,0.9446,-L8XR_210729_01_E09-1122543707
8,M2XM_210723_201-R_C01,L8XR_210729_01_C09,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.65,A8XR_210727_01,L8XR_210729_01,MTX-2017,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1517554047,1435909639,11793,3709.0,9452.0,GRCh38,R8XR-21080402,SI-TT-C9_i7,,,,0.9541,0.9462,-L8XR_210729_01_C09-1122543708
9,M2XM_210723_201-R_D01,L8XR_210729_01_D09,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.82,A8XR_210727_01,L8XR_210729_01,MTX-2018,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1204987596,1148473678,13671,3145.0,8295.0,GRCh38,R8XR-21081701,SI-TT-D9_i7,,,,0.9528,0.9531,-L8XR_210729_01_D09-1124629224
