,specimenID,libraryID,assay,platform,referenceSet,transposaseBatch,libraryBatch,libraryPreparationMethod,sampleBarcode,chromiumSampleIndex,pcrCycles,sequencingBatch,isStranded,readStrandOrigin,readLength,runType,meanCoverage,meanGCContent,Q30BasesinRead1,Q30BasesinRead2
0,M2AT_211109_216_B01,L8AT_211117_01_G07,ATACSeq,IlluminaNovaseq6000,GRCh38,R8AT-21112303,L8AT_211117_01,10x,,SI-NA-G7,,ATX-1501,False,forward,50bp,pairedEnd,,,0.9422,0.9354
1,M2AT_211109_216_C01,L8AT_211117_01_H07,ATACSeq,IlluminaNovaseq6000,GRCh38,R8AT-21112303,L8AT_211117_01,10x,,SI-NA-H7,,ATX-1501,False,forward,50bp,pairedEnd,,,0.9446,0.9371
2,M2AT_211109_216_D01,L8AT_211117_01_A08,ATACSeq,IlluminaNovaseq6000,GRCh38,R8AT-21112303,L8AT_211117_01,10x,,SI-NA-A8,,ATX-1501,False,forward,50bp,pairedEnd,,,0.9415,0.9344
3,M2AT_211109_211_E01,L8AT_211117_01_B08,ATACSeq,IlluminaNovaseq6000,GRCh38,R8AT-21112303,L8AT_211117_01,10x,,SI-NA-B8,,ATX-1501,False,forward,50bp,pairedEnd,,,0.9437,0.9392
4,M2AT_211109_211_F01,L8AT_211117_01_C08,ATACSeq,IlluminaNovaseq6000,GRCh38,R8AT-21112303,L8AT_211117_01,10x,,SI-NA-C8,,ATX-1501,False,forward,50bp,pairedEnd,,,0.9428,0.9361
5,M2AT_211109_211_G01,L8AT_211117_01_D08,ATACSeq,IlluminaNovaseq6000,GRCh38,R8AT-21112303,L8AT_211117_01,10x,,SI-NA-D8,,ATX-1501,False,forward,50bp,pairedEnd,,,0.9436,0.9355
6,M2AT_211109_211_H01,L8AT_211117_01_E08,ATACSeq,IlluminaNovaseq6000,GRCh38,R8AT-21112303,L8AT_211117_01,10x,,SI-NA-E8,,ATX-1501,False,forward,50bp,pairedEnd,,,0.9431,0.9361
7,M2AT_211130_216_A01,L8AT_211201_01_E01,ATACSeq,IlluminaNovaseq6000,GRCh38,R8AT-21121404,L8AT_211201_01,10x,,SI-NA-E1,,ATX-1502,False,forward,50bp,pairedEnd,,,0.9261,0.9171
8,M2AT_211130_216_B01,L8AT_211201_01_F01,ATACSeq,IlluminaNovaseq6000,GRCh38,R8AT-21121404,L8AT_211201_01,10x,,SI-NA-F1,,ATX-1502,False,forward,50bp,pairedEnd,,,0.9278,0.9196
9,M2AT_211130_216_C01,L8AT_211201_01_G01,ATACSeq,IlluminaNovaseq6000,GRCh38,R8AT-21121404,L8AT_211201_01,10x,,SI-NA-G1,,ATX-1502,False,forward,50bp,pairedEnd,,,0.928,0.9171
10,M2AT_211130_216_D01,L8AT_211201_01_H01,ATACSeq,IlluminaNovaseq6000,GRCh38,R8AT-21121404,L8AT_211201_01,10x,,SI-NA-H1,,ATX-1502,False,forward,50bp,pairedEnd,,,0.9286,0.9188
