,assay,specimenID,platform,RIN,rnaBatch,libraryBatch,sequencingBatch,libraryPrep,libraryPreparationMethod,libraryType,sampleBarcode,isStranded,readStrandOrigin,readLength,runType,totalReads,validBarcodeReads,numberCells,medianGenes,medianUMIs,specimen_suffix
0,scrnaSeq,M1TX_210218_155_G01,IlluminaNovaseq6000,8.33,A8TX_210223_01,L8TX_210513_01,RTX-982,polyAselection,10x,cDNA,,False,,50bp,pairedEnd,668364820,635614944.0,16558,4145,11814,-L8TX_210513_01_A10-1153814239
1,scrnaSeq,M1TX_210218_157_B01,IlluminaNovaseq6000,8.33,A8TX_210302_01,L8TX_210305_01,RTX-965,polyAselection,10x,cDNA,,False,,50bp,pairedEnd,1590230484,1526621265.0,7576,5894,24396,-L8TX_210305_01_G02-1153814153
2,scrnaSeq,M1TX_210310_162_C01,IlluminaNovaseq6000,8.33,A8TX_210316_01,L8TX_210318_01,RTX-968,polyAselection,10x,cDNA,,False,,50bp,pairedEnd,1491578312,1419982553.0,8891,5409,18786,-L8TX_210318_01_B05-1153814162
3,scrnaSeq,M1TX_210310_164_D01,IlluminaNovaseq6000,8.33,A8TX_210427_02,L8TX_210430_01,RTX-977,polyAselection,10x,cDNA,,False,,50bp,pairedEnd,1328511200,1260757129.0,6291,5015,18670,-L8TX_210430_01_G04-1153814211
4,scrnaSeq,M2TX_210309_204_H01,IlluminaNovaseq6000,8.6,A8TX_210316_01,L8TX_210318_01,RTX-969,polyAselection,10x,cDNA,,False,,50bp,pairedEnd,1470222062,1392300293.0,7456,6058,23636,-L8TX_210318_01_D05-1142430392
5,scrnaSeq,M2TX_210309_206_B01,IlluminaNovaseq6000,8.6,A8TX_210427_02,L8TX_210430_01,RTX-977,polyAselection,10x,cDNA,,False,,50bp,pairedEnd,1301972175,1236873566.0,11485,5098,17587,-L8TX_210430_01_C04-1142430413
6,scrnaSeq,M1TX_210316_101_A01,IlluminaNovaseq6000,7.87,A8TX_210323_01,L8TX_210325_01,RTX-970,polyAselection,10x,cDNA,,False,,50bp,pairedEnd,1664584868,1573032700.0,7917,6457,25922,-L8TX_210325_01_F08-1142430394
7,scrnaSeq,M1TX_210316_102_F01,IlluminaNovaseq6000,7.87,A8TX_210427_02,L8TX_210430_01,RTX-977,polyAselection,10x,cDNA,,False,,50bp,pairedEnd,1689169871,1604711377.0,10247,5032,17319,-L8TX_210430_01_H04-1142430420
8,scrnaSeq,M1TX_210316_104_C01,IlluminaNovaseq6000,7.83,A8TX_210330_01,L8TX_210401_01,RTX-971,polyAselection,10x,cDNA,,False,,50bp,pairedEnd,1385736478,1316449654.0,9000,6360,25753,-L8TX_210401_01_F09-1142430399
9,scrnaSeq,M2TX_210504_201_D01,IlluminaNovaseq6000,7.83,A8TX_210511_01,L8TX_210514_01,RTX-982,polyAselection,10x,cDNA,,False,,50bp,pairedEnd,1046514142,992095407.0,8247,6096,22730,-L8TX_210514_01_G12-1142430439
10,scrnaSeq,M1TX_210218_167_B01,IlluminaNovaseq6000,8.4,A8TX_210223_01,L8TX_210513_01,RTX-981,polyAselection,10x,cDNA,,False,,50bp,pairedEnd,1569820945,1483480793.0,7934,4131,12800,-L8TX_210513_01_H09-1142430435
