project,clock_name,modality,cell_type,feature,coefficient,importance,rank,model_type
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr10:113042617-113043117,-0.0948931576255495,,163,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr10:116227826-116228326,0.1145214876349439,,70,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr10:22334226-22334726,-0.1043142410298191,,112,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr10:28317687-28318187,0.0998054215765433,,135,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr10:60884135-60884635,-0.1189053598313573,,56,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr10:63872259-63872759,0.1181992664961096,,57,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr10:78664666-78665166,0.0989054767713343,,139,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr10:8053261-8053761,-0.1075115432497323,,93,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr1:10665869-10666369,0.1066217189854992,,98,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr1:10779155-10779655,0.1369602757389794,,31,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr1:10788570-10789070,0.1260582637715443,,44,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr1:109687486-109687986,0.1420683046562947,,22,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr1:109711944-109712444,-0.1315972780100029,,39,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr1:11198264-11198764,-0.0959191841564336,,155,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr11:130510307-130510807,-0.1205741016429273,,51,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr11:14413365-14413865,-0.0928145552247078,,189,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr1:115354872-115355372,-0.093243209809254,,183,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr11:15453333-15453833,-0.0975142659784426,,148,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr11:20110798-20111298,0.094296244415789,,168,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr11:35387323-35387823,0.0970646983595915,,150,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr11:3641905-3642405,-0.1160114855749737,,66,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr11:47589446-47589946,-0.0925562186969371,,193,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr1:156177922-156178422,-0.1076695093745192,,92,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr11:62137182-62137682,0.0929633638809841,,186,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr11:69037496-69037996,-0.1171067633388667,,63,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr1:169711513-169712013,0.092129012994059,,199,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr1:178581356-178581856,-0.0927216409292971,,191,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr1:179761804-179762304,-0.0976519833934569,,147,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr1:179767198-179767698,-0.0967037350641872,,152,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr1:196655126-196655626,-0.0948481785339016,,165,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr1:201591318-201591818,-0.1256434722432162,,46,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr1:207820822-207821322,0.0955715062825687,,159,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr1:207822551-207823051,0.1022186342409857,,122,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr12:103760668-103761168,-0.1030704858890992,,117,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr12:11836315-11836815,-0.0965592759439082,,154,RidgeCV
pfc_to_perturbation,gse294103_sirt6_shap_ridge_clock,ATAC,All cells,chr1:212540061-212540561,0.0944099740416655,,167,RidgeCV
