project,clock_name,modality,cell_type,feature,coefficient,importance,rank,model_type
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr10:109418762-109419262,-0.016895422532643,0.0102579512103868,154,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr10:25068072-25068572,0.0129515348521711,0.0100355191542552,169,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr10:47449415-47449915,0.0165359007445902,0.0097273355238487,192,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr10:49177311-49177811,0.0155395282387268,0.0118303044605645,89,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr10:6843415-6843915,0.01207817615489,0.0101400155835585,160,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr10:84903204-84903704,-0.0152105700533857,0.0101585779375463,158,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr10:95195983-95196483,-0.0180152826900928,0.0102249830493678,156,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr1:10779155-10779655,0.01618482418803,0.0111056823334058,118,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr1:10788570-10789070,0.0170777353710381,0.0117335146291888,91,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr1:109687486-109687986,0.0267605991710858,0.0430286677879708,2,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr1:109689913-109690413,0.0106174819675036,0.0100383803694856,168,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr1:111228386-111228886,-0.0159613473447308,0.0120471191571519,80,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr1:111249859-111250359,-0.0150823861905904,0.0139249529074524,55,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr1:111253832-111254332,-0.021530751042743,0.0219688329514987,13,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr1:111271419-111271919,-0.0205973880745594,0.0108580861730768,128,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr11:1760352-1760852,0.017295177403059,0.0105988445480556,140,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr11:19539799-19540299,0.0110362317709648,0.0095823162287488,198,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr1:120811707-120812207,-0.0163722291641939,0.0120213752493897,82,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr1:149708493-149708993,0.0260352907245634,0.0243181695220952,8,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr1:164982966-164983466,-0.0116540170642703,0.0101290970872414,162,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr11:6586449-6586949,0.0131681579696915,0.0098578177227579,184,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr1:1692911-1693411,-0.0133571049451129,0.0110642338173966,121,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr1:169658984-169659484,0.0147432869681699,0.0112693476268024,111,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr11:74673865-74674365,-0.0147076309405171,0.011852012497535,87,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr1:202004615-202005115,0.0188856835792027,0.0101431971590003,159,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr1:207811881-207812381,0.0276179051137273,0.0122113327437006,76,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr12:118740085-118740585,0.014705424401982,0.0119787131735388,83,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr12:118827052-118827552,0.014090542268294,0.0100454277633668,167,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr12:14249300-14249800,0.0160761968688924,0.0121419613804748,77,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr12:19202356-19202856,-0.0153832730838644,0.0099740154511764,174,RidgeCV
pfc_to_hippocampus,pfc_to_hip_all_pfc_ridge_clock,ATAC,All_cells,chr1:226824949-226825449,0.0109514941203558,0.0096005290092846,197,RidgeCV
