chr	tss	strand	gene_name	gene_id
chr19	58353492	-	A1BG	A1BG
chr19	58351969	+	A1BG-AS1	A1BG-AS1
chr10	50885627	-	A1CF	A1CF
chr12	9115919	-	A2M	A2M
chr12	9065176	+	A2M-AS1	A2M-AS1
chr12	8822620	+	A2ML1	A2ML1
chr12	9234207	-	A2MP1	A2MP1
chr1	33321098	-	A3GALT2	A3GALT2
chr22	42720870	-	A4GALT	A4GALT
chr3	138132390	-	A4GNT	A4GNT
chr17	33533760	-	AA06	AA06
chr12	53321610	-	AAAS	AAAS
chr12	125065434	+	AACS	AACS
chr5	178818435	-	AACSP1	AACSP1
chr3	151814115	+	AADAC	AADAC
chr3	151733926	+	AADACL2	AADACL2
chr3	151928175	-	AADACL2-AS1	AADACL2-AS1
chr1	12716109	+	AADACL3	AADACL3
chr1	12644084	+	AADACL4	AADACL4
chr3	151770455	+	AADACP1	AADACP1
chr4	170089956	-	AADAT	AADAT
chr15	67254661	-	AAGAB	AAGAB
chr2	69643738	-	AAK1	AAK1
chr11	77821113	+	AAMDC	AAMDC
chr2	218270137	-	AAMP	AAMP
chr17	76453350	+	AANAT	AANAT
chr20	36236416	+	AAR2	AAR2
chr8	116938206	+	AARD	AARD
chr16	70289506	-	AARS1	AARS1
chr6	44313347	-	AARS2	AARS2
chr17	42964454	-	AARSD1	AARSD1
chr4	56387491	-	AASDH	AASDH
chr11	106077661	+	AASDHPPT	AASDHPPT
chr7	122144249	-	AASS	AASS
chr21	43812567	-	AATBC	AATBC
chr17	36948953	+	AATF	AATF
chr17	81131948	-	AATK	AATK
chr20	31721506	+	ABALON	ABALON
chr16	8674616	+	ABAT	ABAT
chr9	104928155	-	ABCA1	ABCA1
chr17	69228824	-	ABCA10	ABCA10
chr4	474209	-	ABCA11P	ABCA11P
chr2	215032086	-	ABCA12	ABCA12
chr7	48171457	+	ABCA13	ABCA13
chr16	2340921	+	ABCA17P	ABCA17P
chr9	137028237	-	ABCA2	ABCA2
chr16	2340728	-	ABCA3	ABCA3
chr1	94121148	-	ABCA4	ABCA4
chr17	69315633	-	ABCA5	ABCA5
chr17	69141895	-	ABCA6	ABCA6
chr19	1040106	+	ABCA7	ABCA7
chr17	68955392	-	ABCA8	ABCA8
chr17	69060927	-	ABCA9	ABCA9
chr17	69004713	+	ABCA9-AS1	ABCA9-AS1
