project,clock_name,modality,cell_type,feature,coefficient,importance,rank,model_type
seaad_alltissues_investigate,dlpfc_xds_pfc357_peaks_ridge_clock,ATAC,all_cells,chr10:100993457-101024904,-0.1047402396798133,,125,RidgeCV
seaad_alltissues_investigate,dlpfc_xds_pfc357_peaks_ridge_clock,ATAC,all_cells,chr10:102113172-102125069,0.0951632335782051,,176,RidgeCV
seaad_alltissues_investigate,dlpfc_xds_pfc357_peaks_ridge_clock,ATAC,all_cells,chr10:110493256-110505051,-0.109831117093563,,100,RidgeCV
seaad_alltissues_investigate,dlpfc_xds_pfc357_peaks_ridge_clock,ATAC,all_cells,chr10:123664820-123670700,-0.0924584791064262,,198,RidgeCV
seaad_alltissues_investigate,dlpfc_xds_pfc357_peaks_ridge_clock,ATAC,all_cells,chr10:124727048-124745886,0.0984116271138191,,156,RidgeCV
seaad_alltissues_investigate,dlpfc_xds_pfc357_peaks_ridge_clock,ATAC,all_cells,chr10:127932337-127938542,-0.119338110089302,,84,RidgeCV
seaad_alltissues_investigate,dlpfc_xds_pfc357_peaks_ridge_clock,ATAC,all_cells,chr10:132388860-132427506,0.1091313809156417,,104,RidgeCV
seaad_alltissues_investigate,dlpfc_xds_pfc357_peaks_ridge_clock,ATAC,all_cells,chr10:47373677-47385118,0.125144824385643,,74,RidgeCV
seaad_alltissues_investigate,dlpfc_xds_pfc357_peaks_ridge_clock,ATAC,all_cells,chr10:79232917-79256824,0.1048967763781547,,122,RidgeCV
seaad_alltissues_investigate,dlpfc_xds_pfc357_peaks_ridge_clock,ATAC,all_cells,chr1:1017544-1028492,-0.1128668040037155,,95,RidgeCV
seaad_alltissues_investigate,dlpfc_xds_pfc357_peaks_ridge_clock,ATAC,all_cells,chr1:1031030-1064744,-0.1482861936092376,,43,RidgeCV
seaad_alltissues_investigate,dlpfc_xds_pfc357_peaks_ridge_clock,ATAC,all_cells,chr1:109247362-109287440,0.1959724426269531,,19,RidgeCV
seaad_alltissues_investigate,dlpfc_xds_pfc357_peaks_ridge_clock,ATAC,all_cells,chr1:111253834-111254358,-0.0980711057782173,,158,RidgeCV
seaad_alltissues_investigate,dlpfc_xds_pfc357_peaks_ridge_clock,ATAC,all_cells,chr11:117865790-117880479,-0.1329161673784256,,62,RidgeCV
seaad_alltissues_investigate,dlpfc_xds_pfc357_peaks_ridge_clock,ATAC,all_cells,chr11:119314819-119322670,0.0942746847867965,,185,RidgeCV
seaad_alltissues_investigate,dlpfc_xds_pfc357_peaks_ridge_clock,ATAC,all_cells,chr11:119352898-119379112,0.1211000978946685,,79,RidgeCV
seaad_alltissues_investigate,dlpfc_xds_pfc357_peaks_ridge_clock,ATAC,all_cells,chr11:11957924-11977859,0.0967608392238617,,165,RidgeCV
seaad_alltissues_investigate,dlpfc_xds_pfc357_peaks_ridge_clock,ATAC,all_cells,chr11:1743457-1764979,0.1347541362047195,,60,RidgeCV
